id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode_image
670,PENGKI HLM,MHEL01,PENGKI WARNA HELMUT,HELMUT,LSN,SPS,81000.0,
671,PENGKI RYR,MREY02,PENGKI REYNER,REYNER,LSN,NIB,81000.0,
672,PK KALSI MTR,MMAT01,PAKU KALSIBOARD MATRIX,MATRIX,BOX,SU,16750.0,
673,PK KALSI VPR,MVPR06,PAKU KALSIBOARD 1',VPR,BOX,SMSL,16000.0,
674,PK RV SIP 435,MXXX60,PAKU RIVET SIP 435,,BOX,SUARI,52500.0,
675,PK RV SIP 440,MXXX61,PAKU RIVET SIP 440,,BOX,SUARI,60500.0,
676,PK RV SIP 450,MXXX62,PAKU RIVET SIP 450,,BOX,SUARI,61000.0,
677,PK RV SIP 540,MXXX63,PAKU RIVET SIP 540,,BOX,SUARI,87000.0,
678,PK RV SIP 550,MXXX64,PAKU RIVET SIP 550,,BOX,SUARI,78000.0,
679,PK SG ER2,MERD01,"PAKU SENG ERDOS 2""",ERDOS,DOS,MSM,120000.0,
680,PK SG GRT2,MGRT18,"PAKU SENG GRT 2""",GRT,DOS,SMSL,106500.0,
681,PL BDM 2LB,MHIO179,PALU BODEM 2 LB HIOSHI,HIOSHI,PCS,KBB,51656.25,
682,PL KMB 12P,MVPR07,PALU KAMBING 12OZ P VPR,VPR,LSN,MSM,215000.0,
683,PL KMB 12R,MVPR08,PALU KAMBING 12OZ R VPR,VPR,LSN,MSM,220000.0,
684,PL KMB 16P,MVPR09,PALU KAMBING 16OZ P VPR,VPR,LSN,MSM,245000.0,
685,PL KMB 16R,MVPR10,PALU KAMBING 16OZ R VPR,VPR,LSN,MSM,250000.0,
686,PL KMB 8P,MVPR11,PALU KAMBING 8OZ P VPR,VPR,LSN,MSM,185000.0,
687,PL KMB 8R,MVPR12,PALU KAMBING 80Z R VPR,VPR,LSN,MSM,190000.0,
688,PL MINI 8OZ,MYUS06,PALU MINI 8OZ YUSTAR,YUSTAR,LSN,HHH,166250.0,
689,PL PP 12R,MYUS07,PALU KAMBING PIPA 12OZ R YUSTAR,YUSTAR,PCS,HHH,17860.0,
690,PL PP 8R,MYUS08,PALU KAMBING PIPA 8OZ R YUSTAR,YUSTAR,PCS,HHH,15040.0,
691,PL RADAR ST70,MXXX65,PELAMPUNG RADAR ST70,,PCS,STD,38000.0,
692,PLBOLAKNG1/2,MHIO180,PELAMPUNG BOLA KUNINGAN 1/2,HIOSHI,PCS,KBB,64676.0,
693,PLBOLAKNG3/4,MHIO181,PELAMPUNG BOLA KUNINGAN 3/4,HIOSHI,PCS,KBB,69920.0,
694,PLMP L SC07,MISC49,PELAMPUNG L SC-07 ISCO,ISCO,PCS,STD,20000.0,
695,PLMP T SC07,MISC50,PELAMPUNG T SC-07 ISCO,ISCO,PCS,STD,20000.0,
696,PLMPG SC70,MISC51,PELAMPUNG WATERLEVEL ST70 ISCO,ISCO,PCS,STD,40000.0,
697,PMP CLP SAN EI,MSAN02,POMPA CELUP SAN EI 135 NON AUTO,SAN EI,PCS,STD,490000.0,
698,PMP OT SC-125,MTEX01,POMPA OTOMATIS SC-125 TEXAS,TEXAS,PCS,STD,29000.0,
699,PMP OT SC125 1/4,MISC52,OTOMATIS POMPA SC-125 1/4 ISCO,ISCO,PCS,STD,26000.0,
700,PMP OT SC125 IS,MISC53,OTOMATIS POMPA SC-125 3/8 ISCO,ISCO,PCS,STD,26000.0,
701,PMP OT SC130 IS,MISC54,POMPA OTOMATIS SC-130 ISCO,ISCO,PCS,STD,27000.0,
702,POT HLMT,MHEL02,POT HELMUT HYPER 45,HELMUT,LSN,SPS,525200.14,
703,PR CTRL PUMP,MTOR06,PRESS CONTROL / AUTOMATIC PUMP,TORA,PCS,SMM,288750.0,
704,PRES CTRL,MISC55,PRESSURE CONTROL SC88 ISCO,ISCO,PCS,STD,220000.0,
705,PTKC TC59,MTOY01,ALAT POTONG KACA TC-59 TOYO,TOYO,PCS,SA,11400.0,
706,PTPP STRS,MSTR01,ALAT POTONG PIPA PVC STRAUSS,STRAUSS,PCS,LGA,34639.0,
707,RASKAM KZ,MKAZ01,RASKAM KAZOET (GARIS),KAZOET,LSN,SU,52500.0,
708,RASKAM RYN,MXXX66,RASKAM REYNER PTH,,LSN,NIB,122000.0,
709,RD 3,MXXX67,RODA ONLY 3',,PCS,NAS,5750.0,
710,RD 4,MXXX68,RODA ONLY 4',,PCS,NAS,9500.0,
711,RD 6,MXXX69,RODA ONLY 6',,PCS,NAS,23500.0,
712,RD 8,MXXX70,RODA ONLY 8',,PCS,NAS,33000.0,
713,RD BLT RRT,MXXX71,RODA BULAT RRT,,SET,GSS,15500.0,
