id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode image
861,TANG RVT HST,TANG RVT HST,TANG RIVET HASSTON,HASSTON,PCS,CPI,46640,
862,TANGMNHSH,TANGMNHSH,"TANG POTONG MINI 4,5 ORANYE HIOSHI",HIOSHI,PCS,KBB,10450,
863,TCT MDRN,TCT MDRN,"TCT SAW BLADE 4""X24T (MATA SERKEL)",MODERN,PCS,MT,12600,
864,TIMB BLT 10KG,TIMB BLT 10KG,TIMBANGAN BULAT 10 KG HIOSHI ECO HTD001B,HIOSHI,PCS,KBB,114712.5,
865,TIMB BLT 15KG,TIMB BLT 15KG,TIMBANGAN BULAT 15 KG HIOSHI ECO HTD001C,HIOSHI,PCS,KBB,114712.5,
866,TIMB BLT 20KG,TIMB BLT 20KG,TIMBANGAN BULAT 20 KG HIOSHI ECO,HIOSHI,PCS,KBB,114712.5,
867,TIMB BLT 5KG,TIMB BLT 5KG,TIMBANGAN BULAT 5 KG HIOSHI ECO,HIOSHI,PCS,KBB,133000,
868,TIMB GNT 100KG,TIMB GNT 100KG,TIMBANGAN GANTUNG 100KG HIOSHI,HIOSHI,PCS,KBB,69920,
869,TIMB GNT 50KG,TIMB GNT 50KG,TIMBANGAN GANTUNG 50KG HIOSHI,HIOSHI,PCS,KBB,69920,
870,TMBK LEM,TMBK LEM,ALAT TEMBAKAN LEM CROP TEBAL STRAUSS,,PCS,LGA,22003.799999999999,
871,TMBK LEM TK,TMBK LEM TK,TEMBAKAN LEM TEBAL TOKIO,TOKIO,PCS,NAS,17500,
872,TR COM GDO,TR COM GDO,TARIKAN COM GDO GT001/ DOOR HANDLE,GDO,PCS,BI,12363.639999999999,
873,TR LACI 6,TR LACI 6,"TARIKAN LACI 6""",KZK,LSN,BS,25000,
874,TR PTKY ISCO,TR PTKY ISCO,TARIKAN PINTU KAYU ISCO,ISCO,SET,STD,36500,
875,TTH FBGT 1,TTH FBGT 1,TATAH FIBER GANTUNG 1 (25MM) HIOSHI,HIOSHI,LSN,KBB,209475,
876,TTH FBGT 1.1/2,TTH FBGT 1.1/2,TATAH FIBER GANTUNG 1.1/2 (38MM) HIOSHI,HIOSHI,LSN,KBB,235980,
877,TTH FBGT 1.1/4,TTH FBGT 1.1/4,TATAH FIBER GANTUNG 1.1/4 (32MM) HIOSHI,HIOSHI,LSN,KBB,222300,
878,TTH FBGT 1/2,TTH FBGT 1/2,TATAH FIBER GANTUNG 1/2 (13MM) HIOSHI,HIOSHI,LSN,KBB,183825,
879,TTH FBGT 3/4,TTH FBGT 3/4,TATAH FIBER GANTUNG 3/4 (20MM) HIOSHI,HIOSHI,LSN,KBB,200925,
880,TTH FBGT 3/8,TTH FBGT 3/8,TATAH FIBER GANTUNG 3/8 (10MM) HIOSHI,HIOSHI,LSN,KBB,173052,
881,TTH FBGT 5/8,TTH FBGT 5/8,TATAH FIBER GANTUNG 5/8 (16MM) HIOSHI,HIOSHI,LSN,KBB,196650,
882,TTK AMP K,TTK AMP K,TATAKAN AMPLAS KASAR,,PCS,NIB,2775,
883,VAN BELT TORA,VAN BELT TORA,VAN BELT TORA,TORA,PCS,SMM,7150,
884,VPR FLEX 18,VPR FLEX 18,MATA GRAJI VPR FLEX 18T,VPR,PCS,MSM,900.89999999999998,
885,VPR FLEX 24,VPR FLEX 24,MATA GRAJI VPR FLEX 24T,VPR,PCS,MSM,900.89999999999998,
886,WATERMUR,WATERMUR,WATERMUR ABU-ABU 1 X 3/4,,PCS,STD,1545,
887,WB SB35,WB SB35,BCP/ WASHBAK ROYAL SB35,ROYAL,PCS,WG,160455,
888,WTRMUR1/2,WTRMUR1/2,WATERMUR BENING 1 X 1/2,,PCS,STD,2409,
889,WTRMUR3/4,WTRMUR3/4,WATERMUR BENING 1 X 3/4,,PCS,STD,2650,
890,SKR GYP 1.1/4 LMB,SKR GYP 1.1/4 LMB,"SKRUP GYPSUM 6 X 1.1/4"" LUMBA2",LUMBA LUMBA,COL,IKS,630000,
891,KC SMRT LOCK,KC SMRT LOCK,KUNCI PINTU SMART LOCK ISCO,ISCO,PCS,STD,750000,
892,RD HDP KRT ABU 2 REM,RD HDP KRT ABU 2 REM,"RODA HIDUP KARET ABU 2"" W/REM SSS",SSS,PCS,DWS,14000,
893,KR TMN CC80 ISCO,KR TMN CC80 ISCO,KRAN TAMAN JEMPOL CC80 ISCO,ISCO,LSN,STD,37500,
894,BDM 4LB YS,BDM 4LB YS,BODEM 4 LB YUSTAR,YUSTAR,PCS,HHH,17200,
895,BDM 8LB YS,BDM 8LB YS,BODEM 8 LB YUSTAR,YUSTAR,PCS,HHH,34400,
896,BDM 10LB YS,BDM 10LB YS,BODEM 10 LB YUSTAR,YUSTAR,PCS,HHH,43000,
897,BDM 12LB YS,BDM 12LB YS,BODEM 12 LB YUSTAR,YUSTAR,PCS,HHH,51600,
898,BDM 14LB YS,BDM 14LB YS,BODEM 14 LB YUSTAR,YUSTAR,PCS,HHH,60200,
899,BDM 16LB YS,BDM 16LB YS,BODEM 16 LB YUSTAR,YUSTAR,PCS,HHH,68800,
900,BDM 6LB YS,BDM 6LB YS,BODEM 6 LB YUSTAR,YUSTAR,PCS,HHH,25800,
901,BDM 18LB YS,BDM 18LB YS,BODEM 18 LB YUSTAR,YUSTAR,PCS,HHH,77400,
902,BDM 20LB YS,BDM 20LB YS,BODEM 20 LB YUSTAR,YUSTAR,PCS,HHH,86000,
903,AMP BLT 80 VPR,AMP BLT 80 VPR,AMPLAS BULAT 80 VPR,VPR,PCS,MSM,265,
904,TALI TR 5 MT,TALI TR 5 MT,TALI TRUCK 5 MTR,,PCS,SMM,27500,
905,BD BITS MDRN 1/4,BD BITS MDRN 1/4,BEADING BITS MODERN 1/4,MODERN,PCS,SUARI,23000,
906,KP BS HTM OWN,KP BS HTM OWN,KUNCI PINTU BESAR HITAM OWNER,OWNER,SET,STS,57500,
907,RD MT RED 2 DB,RD MT RED 2 DB,"RODA MATI MERAH 2"" PPU DB SSS",SSS,PCS,DWS,8431.2399999999998,
908,RD HDP RED 2 DB,RD HDP RED 2 DB,"RODA HIDUP MERAH 2"" PPU DB SSS",SSS,PCS,DWS,10331.24,
909,RD HDP ABU 3,RD HDP ABU 3,"RODA HIDUP ABU 3"" SSS",SSS,PCS,DWS,19250,
910,KWL1/2PTH GRT,KWL1/2PTH GRT,KAWAT LOKET 1/2 PUTIH PATRI GRT,GRT,ROL,SMSL,760000,
911,KP TGG MU-03,KP TGG MU-03,KUNCI PINTU TGG BABET BULAT MU-03 ISCO,ISCO,PCS,STD,46000,
912,MTR VPR 5,MTR VPR 5,ROLL METER 5 MTR VPR,VPR,LSN,MSM,85000,
913,BAKCAT AWS HTM,BAKCAT AWS HTM,BAK CAT HITAM SUPER AWS,AWS,LSN,NIB,55000,
914,KC RG 14X15 HST,KC RG 14X15 HST,KUNCI RING 14 X 15 HASSTON,HASSTON,PCS,CPI,19950,
915,KC PAS 14X15 HST,KC PAS 14X15 HST,KUNCI PAS 14 X 15 HASSTON,HASSTON,PCS,CPI,14600,
916,CB TIES HTM400,CB TIES HTM400,CABLE TIES HITAM 400,HASSTON,PCS,CPI,29755,
917,CB TIES PTH400,CB TIES PTH400,CABLE TIES PUTIH 400,HASSTON,PCS,CPI,29755,
919,CB TIES PTH500 HS,CB TIES PTH500 HS,CABLE TIES PUTIH 500 HS,HASSTON,PCS,CPI,80465,
920,KOP KACA 1 HEAD,KOP KACA 1 HEAD,KOP KACA 1 HEAD PRESSURE GAUGE,HASSTON,PCS,CPI,218460,
921,RF TUB BAN 200,RF TUB BAN 200,REFILL TUBLES BAN 200MM,HASSTON,PCS,CPI,37565,
922,KC BACO 6,KC BACO 6,"KUNCI BACO 6"" ST HASSTON",HASSTON,PCS,CPI,38335,
923,U ANGIN BAN TG3,U ANGIN BAN TG3,U ANGIN BAN TG3 HASSTON,HASSTON,PCS,CPI,85690,
924,TANG KRT 6 HS,TANG KRT 6 HS,"TANG KARET 6"" HASSTON",HASSTON,PCS,CPI,53020,
925,TANG KRT 7 HS,TANG KRT 7 HS,"TANG KARET 7"" HASSTON",HASSTON,PCS,CPI,60225,
926,KP SOK 8 HS,KP SOK 8 HS,KEPALA SOK 8M S6 HASSTON,HASSTON,PCS,CPI,8690,
927,KP SOK 10 HS,KP SOK 10 HS,KEPALA SOK 10M S6 HASSTON,HASSTON,PCS,CPI,8690,
928,KP SOK 12 HS,KP SOK 12 HS,KEPALA SOK 12M S6 HASSTON,HASSTON,PCS,CPI,8690,
929,KP SOK 14 HS,KP SOK 14 HS,KEPALA SOK 14M S6 HASSTON,HASSTON,PCS,CPI,8690,
930,KP SOK 19 HS,KP SOK 19 HS,KEPALA SOK 19 S6 HASSTON,HASSTON,PCS,CPI,11165,
931,KP SOK 24 HS,KP SOK 24 HS,KEPALA SOK 24M S6 HASSTON,HASSTON,PCS,CPI,14080,
932,KC SOK 10 PS,KC SOK 10 PS,KUNCI SOK 10 PS HASSTON,HASSTON,PCS,CPI,195415,
933,KC SOK 25 PS,KC SOK 25 PS,KUNCI SOK 25 PS HASSTON,HASSTON,PCS,CPI,703340,
934,AIR DST HS,AIR DST HS,AIR DUSTER 1+3 (THREE IN ONE) HASSTON,HASSTON,PCS,CPI,33990,
935,CB TIES HTM500 HS,CB TIES HTM500 HS,CABLE TIES HITAM 500 HS,HASSTON,PCS,CPI,80465,
936,KP TGG MU-05,KP TGG MU-05,KUNCI PINTU TGG BABET KOTAK MU-05 ISCO,ISCO,PCS,STD,46000,
